"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Healthy_male"
"Pmin_ref_seq_8815"	300	297.624075234809	-1	1
"Pmin_ref_seq_5766"	126.674969645458	124.584280608748	-1	1
"Pmin_ref_seq_2291"	114.264870339698	112.205215536728	-1	1
"Pmin_ref_seq_247"	103.401220036647	101.365833808404	-1	1
"Pmin_ref_seq_6565"	98.9654219392894	96.9574739593934	-1	1
"Pmin_ref_seq_3711"	98.8105143213579	96.806975460367	-1	1
"Pmin_ref_seq_6767"	92.9930181066406	91.0066812757573	-1	1
"Pmin_ref_seq_2351"	89.7226212709292	87.7528309930259	-1	1
"Pmin_ref_seq_7698"	87.6122288355529	85.6464785354514	-1	1
"Pmin_ref_seq_3110"	86.4223361761467	84.4645548057165	-1	1
"Pmin_ref_seq_9822"	83.2602170163537	81.3255009499922	-1	1
"Pmin_ref_seq_6807"	77.216482615983	75.3036683910693	-1	1
"Pmin_ref_seq_5185"	76.2070185654212	74.3012661949949	-1	1
"Pmin_ref_seq_5405"	73.5625273519274	71.6671570172949	-1	1
"Pmin_ref_seq_3556"	73.4169048340545	71.5283204887653	-1	1
"Pmin_ref_seq_7497"	71.8264988025036	69.9544295452799	-1	1
"Pmin_ref_seq_5585"	70.9241309166925	69.055290629599	-1	1
"Pmin_ref_seq_7508"	59.6484350132182	57.8311045455745	-1	1
"Pmin_ref_seq_3581"	57.5018177057877	55.7013007371536	-1	1
"Pmin_ref_seq_7311"	56.2885154359658	54.4961672564092	-1	1
"Pmin_ref_seq_4417"	54.2033155345235	52.4268579500826	-1	1
"Pmin_ref_seq_5014"	47.3158840204909	45.5743885397716	-1	1
"Pmin_ref_seq_8155"	45.0803887368541	43.3599682822185	-1	1
"Pmin_ref_seq_3608"	43.7211792412055	42.0098069155472	-1	1
"Pmin_ref_seq_8439"	41.6842760337492	39.9861319738247	-1	1
"Pmin_ref_seq_5451"	41.6080946373328	39.9142719511909	-1	1
"Pmin_ref_seq_5526"	41.347921506129	39.6583776179664	-1	1
"Pmin_ref_seq_4086"	40.6486148851085	38.9675041644828	-1	1
"Pmin_ref_seq_2633"	33.3299581882642	31.6981400537018	-1	1
"Pmin_ref_seq_2547"	32.6766971331907	31.0504350805723	-1	1
"Pmin_ref_seq_4581"	31.8633184250562	30.2479597354481	-1	1
"Pmin_ref_seq_8210"	31.8268631979077	30.2132954159175	-1	1
"Pmin_ref_seq_8241"	29.9605766720596	28.369642581783	-1	1
"Pmin_ref_seq_6112"	27.8071126912912	26.2344498970673	-1	1
"Pmin_ref_seq_2778"	27.5197586512972	25.9487193897375	-1	1
"Pmin_ref_seq_7777"	27.4566718373711	25.8888615459416	-1	1
"Pmin_ref_seq_8026"	26.5825512965855	25.027422036915	-1	1
"Pmin_ref_seq_4042"	25.5326636042492	23.9898555817898	-1	1
"Pmin_ref_seq_3114"	23.8453837165392	22.3247761565446	-1	1
"Pmin_ref_seq_8464"	23.0455408627416	21.5349175236536	-1	1
"Pmin_ref_seq_7984"	22.4352579060079	20.934394404209	-1	1
"Pmin_ref_seq_5042"	20.9939484270239	19.5079919715034	-1	1
"Pmin_ref_seq_6373"	20.8193287807336	19.3360285688568	-1	1
"Pmin_ref_seq_9899"	20.4493344459675	18.9712984740831	-1	1
"Pmin_ref_seq_7260"	20.0235397715318	18.5519956168147	-1	1
"Pmin_ref_seq_8616"	19.4710916622889	18.0059437127565	-1	1
"Pmin_ref_seq_5257"	19.2419493668335	17.7793337538166	-1	1
"Pmin_ref_seq_3442"	18.8536981110887	17.3923431505734	-1	1
"Pmin_ref_seq_9741"	18.2815766398795	16.8277097007568	-1	1
"Pmin_ref_seq_895"	17.6240032190873	16.1799236120771	-1	1
"Pmin_ref_seq_7728"	16.5680697544587	15.1429269665979	-1	1
"Pmin_ref_seq_2847"	16.3940771547431	14.9723948989919	-1	1
"Pmin_ref_seq_1646"	15.6856565323773	14.2775470838153	-1	1
"Pmin_ref_seq_3407"	15.3758861168133	13.9744072471504	-1	1
"Pmin_ref_seq_6522"	15.2682866684408	13.868995684926	-1	1
"Pmin_ref_seq_9701"	15.264141541449	13.8659403815473	-1	1
"Pmin_ref_seq_5707"	14.6945283843094	13.3113043803773	-1	1
"Pmin_ref_seq_9729"	14.4080841846221	13.0300864108087	-1	1
"Pmin_ref_seq_6620"	14.2358196680854	12.862985979872	-1	1
"Pmin_ref_seq_9400"	13.8397746129021	12.4720443263268	-1	1
"Pmin_ref_seq_2144"	13.633891188417	12.2742036220971	-1	1
"Pmin_ref_seq_2816"	12.9234453172267	11.5784478035162	-1	1
"Pmin_ref_seq_9593"	12.0478339240995	10.7253534781359	-1	1
"Pmin_ref_seq_6513"	11.8802982550851	10.5614597129112	-1	1
"Pmin_ref_seq_1511"	11.3061494299018	10.0059453786493	-1	1
"Pmin_ref_seq_9961"	10.7958637205004	9.50849689395311	-1	1
"Pmin_ref_seq_7854"	10.3757458162597	9.09920568320503	-1	1
"Pmin_ref_seq_76"	10.0013920570318	8.73701783103216	-1	1
"Pmin_ref_seq_9791"	9.94432256502624	8.68234115214249	-1	1
"Pmin_ref_seq_3348"	9.81187427771659	8.55620998685653	-1	1
"Pmin_ref_seq_6609"	9.60121803334988	8.34945578564782	-1	1
"Pmin_ref_seq_2704"	9.13923971701208	7.90274422515103	-1	1
"Pmin_ref_seq_9426"	9.00997141084108	7.77869497127068	-1	1
"Pmin_ref_seq_6321"	8.97365165160368	7.74826404099639	-1	1
"Pmin_ref_seq_8422"	8.79703314805516	7.57601034285032	-1	1
"Pmin_ref_seq_8135"	8.76762747128812	7.54732788770238	-1	1
"Pmin_ref_seq_8079"	8.69216630925614	7.47618094474292	-1	1
"Pmin_ref_seq_5165"	8.2674532525607	7.06415921431629	-1	1
"Pmin_ref_seq_3212"	8.18539720540082	6.98349069064305	-1	1
"Pmin_ref_seq_479"	8.13546228280221	6.93631758645786	-1	1
"Pmin_ref_seq_5349"	8.10116119587449	6.90476086557798	-1	1
"Pmin_ref_seq_5883"	7.82077700164211	6.63651612732869	-1	1
"Pmin_ref_seq_9907"	7.67972162895223	6.50140556280344	-1	1
"Pmin_ref_seq_6758"	7.27938942432598	6.11336248065028	-1	1
"Pmin_ref_seq_2758"	7.15815576141106	5.99403780754269	-1	1
"Pmin_ref_seq_5280"	7.11007841181879	5.94786109328986	-1	1
"Pmin_ref_seq_9684"	7.09913176314999	5.93754614579702	-1	1
"Pmin_ref_seq_673"	7.08814190492589	5.92718707124503	-1	1
"Pmin_ref_seq_2230"	6.92215428663218	5.7693173431735	-1	1
"Pmin_ref_seq_1242"	6.53837648813527	5.40489849246285	-1	1
"Pmin_ref_seq_5239"	6.33869036607698	5.21515624749266	-1	1
"Pmin_ref_seq_9725"	6.19640121585561	5.07918213160673	-1	1
"Pmin_ref_seq_7719"	6.01256434723208	4.89988101681608	-1	1
"Pmin_ref_seq_5243"	5.84021138303629	4.73645987348721	-1	1
"Pmin_ref_seq_5479"	5.77946084911544	4.68065392218343	-1	1
"Pmin_ref_seq_9768"	5.76388616365193	4.66671499941418	-1	1
"Pmin_ref_seq_8914"	5.54022584146005	4.45167619076077	-1	1
"Pmin_ref_seq_8475"	5.3270333414433	4.25420173248047	-1	1
"Pmin_ref_seq_5738"	5.32041430804875	4.24917315628143	-1	1
"Pmin_ref_seq_5516"	5.07521032882079	4.02248853824537	-1	1
"Pmin_ref_seq_6691"	5.00814284244818	3.9583587935046	-1	1
"Pmin_ref_seq_9783"	4.8771047046159	3.83361839934092	-1	1
"Pmin_ref_seq_7691"	4.76392516242866	3.72759378804141	-1	1
"Pmin_ref_seq_5263"	4.7203234818506	3.68540905645897	-1	1
"Pmin_ref_seq_8707"	4.67651335479396	3.64301127042558	-1	1
"Pmin_ref_seq_5610"	4.61160357992323	3.58044523832839	-1	1
"Pmin_ref_seq_1283"	4.4456652186543	3.42558406370414	-1	1
"Pmin_ref_seq_9697"	4.31749609683373	3.30999104862519	-1	1
"Pmin_ref_seq_2707"	4.20318426547874	3.20183329063598	-1	1
"Pmin_ref_seq_5281"	4.18153361546975	3.18154696992021	-1	1
"Pmin_ref_seq_7754"	4.04626912109048	3.0539887734499	-1	1
"Pmin_ref_seq_7834"	3.83622980913501	2.85948412473201	-1	1
"Pmin_ref_seq_2016"	3.81966874361129	2.84333529889933	-1	1
"Pmin_ref_seq_6402"	3.29850835839228	2.36454043085811	-1	1
"Pmin_ref_seq_2598"	3.02250121859655	2.11146325170862	-1	1
"Pmin_ref_seq_1158"	2.94620919021141	2.04533267111762	-1	1
